,Groups & Sub-Groups,Weight %,2015/16,2016/17,2017/18,2018/19,Percent Change,Percent Change
2,Overall Index,100.0,0.25791707476330394,0.5515463917525771,0.6007398273736131,0.5864649422482513,0.7955957086391868,0.6395617070357555
3,Food and Beverage,43.91,0.2902383284361738,0.48017446471054726,0.5154130702836004,0.49829184968277196,0.7557876905702993,0.5501730103806228
4,Cereal grains and their products,11.33,0.23408423114593546,0.4032513877874697,0.4586929716399508,0.5013827883520416,0.7481648785996612,0.679930795847751
5,Pulses and Legumes,1.84,1.0,0.9690721649484537,0.0,0.0,0.0,0.0
6,Vegetable,5.52,0.2696702579170749,0.260904044409199,0.6044389642416768,0.44298031560110607,1.0,0.2070357554786621
7,Meat and Fish,6.75,0.25334639242572665,0.45400475812846963,0.48434032059186194,0.5031722791605662,0.7411067193675889,0.6303344867358709
8,Milk products and Eggs,5.24,0.2588965066927851,0.5166534496431403,0.6577065351418003,0.5827232796486088,0.875494071146245,0.5144175317185699
9,Ghee and Oil,2.95,0.5690499510284037,0.45281522601110247,0.4890258939580763,0.5412396290873596,0.7467532467532467,0.73760092272203
10,Fruit,2.08,0.14724126673196203,0.3822363203806498,0.4808877928483355,0.5331055799577029,0.784867306606437,0.7301038062283738
11,Sugar and Sugar products,1.74,0.17107411034933095,0.8818398096748608,0.6683107274969173,0.47421506425898796,0.6595143986448334,0.1793540945790081
12,Spices,1.21,0.37381651975187724,0.753766851704996,0.46337854500616515,0.5088661135513259,0.5392433653303218,0.6931949250288352
13,Non-alcoholic drinks,1.24,0.08782239634345412,0.3005551149881045,0.40641183723797747,0.4371238002277533,0.7619988706945228,0.591118800461361
14,Alcoholic drinks,0.68,0.35455435847208605,1.0,1.0,1.0,0.8941276115189158,1.0
15,Tobacco products,0.41,0.18217433888344736,0.42149088025376624,0.5501849568434034,0.6619489181714657,0.8300395256916996,0.972318339100346
16,Restaurant and Hotel,2.92,0.2383284361736857,0.6407613005551145,0.679161528976572,0.6448674149991862,0.8156408808582721,0.6516724336793541
17,Non-food and Services,56.09,0.23310479921645433,0.608643933386201,0.6695437731196052,0.6582072555718237,0.8269339356295877,0.7099192618223761
18,Clothes and Footwear,7.19,0.3969964087495921,0.942109436954798,0.9087546239210855,0.8444769806409629,0.8461321287408243,0.7612456747404845
19,Housing and Utilities,20.3,0.3490042442050276,0.8358445678033304,0.865351418002466,0.8335773548072232,0.8709768492377188,0.814878892733564
20,Furnishing and Household equipment,4.3,0.1387528566764611,0.4766058683584449,0.5408138101109738,0.5654790954937368,0.7840203274985883,0.7012687427912342
21,Health,3.47,0.018282729350310056,0.17367168913560604,0.3062885326757092,0.34114202049780395,0.7413890457368718,0.5011534025374856
22,Transportation,5.34,0.0,0.0,0.18816276202219484,0.32877826582072545,0.7326369282891021,0.7329873125720876
23,Communication,2.82,0.1008814887365328,0.15622521808088763,0.25030826140567175,0.2394664063770946,0.6925465838509316,0.28604382929642447
24,Recreation and Culture,2.46,0.07313091740124067,0.25971451229183184,0.4110974106041927,0.45257849357410107,0.7947487295313381,0.6303344867358709
25,Education,7.41,0.2628142344107083,0.7922283901665343,0.8727496917385946,0.7818448023426061,0.9054206662902314,0.660322952710496
26,Miscellaneous goods and services,2.81,0.07966046359777978,0.5118953211736716,0.5632552404438962,0.5747519115015454,0.7834556747600225,0.682237600922722
29,Overall Index,100.0,0.3124387855044075,0.5586835844567801,0.5800246609124535,0.5763787213274769,0.7701863354037266,0.652249134948097
30,Food and Beverage,39.77,0.3692458374142995,0.5570975416336239,0.5775585696670777,0.5440052057914431,0.7687747035573123,0.5605536332179931
31,Non-food and Services,60.23,0.2752203721841333,0.5598731165741473,0.5817509247842167,0.5980152920123638,0.7713156408808582,0.7133794694348328
34,Overall Index,100.0,0.21547502448579836,0.4936558287073751,0.5701602959309491,0.5579957702944527,0.8023715415019762,0.6176470588235294
35,Food and Beverage,44.14,0.25138752856676483,0.4155432196669313,0.4695437731196055,0.45127704571335614,0.7512704686617729,0.5011534025374856
36,Non-food and Services,55.86,0.1873979758406792,0.5563045202220458,0.6525277435265102,0.6464942248251182,0.8438735177865613,0.7104959630911188
39,Overall Index,100.0,0.2742409402546526,0.6558287073750986,0.6811344019728729,0.6490971205466081,0.8080180688876341,0.660322952710496
40,Food and Beverage,46.88,0.2859941234084231,0.5249801744647105,0.5294697903822443,0.5313160891491784,0.7411067193675889,0.621683967704729
41,Non-food and Services,53.12,0.2637936663401894,0.775574940523394,0.8217016029593096,0.7589067837969741,0.867588932806324,0.6943483275663207
44,Overall Index,100.0,0.2203721841332027,0.4869151467089612,0.6066584463625153,0.5957377582560599,0.8438735177865613,0.6551326412918108
45,Food and Beverage,59.53,0.21253672869735585,0.41633624107850853,0.5358816276202218,0.5139092240117131,0.8187464709203839,0.555363321799308
46,Non-food and Services,40.47,0.2317988899771466,0.5927835051546388,0.7136868064118373,0.722628924678705,0.8805759457933371,0.8056516724336793
