,Bank/FI,Name,Interest Rate,Minimum Balance,Tenure
0,Salapa Bikas,Fixed Deposit-1Y&above,0.085,0.0,1 year
1,Salapa Bikas Bank,,,,
2,Pokhara Finan.,Fixed Deposit-3Y&above,0.08,0.0,3 years
3,Pokhara Finance,,,,
4,Nepal Finance,Fixed Deposit-Above2Y,0.08,0.0,2.08 years
5,Nepal Finance Co.,,,,
6,Salapa Bikas,Fixed Deposit-3Mto6M,0.08,0.0,3 months
7,Salapa Bikas Bank,,,,
8,Samriddhi Fin,Fixed Deposit-5Y&above,0.0785,0.0,5.08 years
9,Samriddhi Finance Co.,,,,
10,Janaki Finan.,Fixed Deposit-2Y&above,0.078,0.0,2 years
11,Janaki Finance Co.,,,,
12,Guheshwori,Fixed Deposit-5Y&above,0.0775,0.0,5 years
13,Guheshwori Finance,,,,
14,Reliance Fin.,Fixed Deposit-Above3Y,0.0775,0.0,3.08 years
15,Reliance Finance Ltd.,,,,
16,Samriddhi Fin,Fixed Deposit-3Yto5Y,0.0775,0.0,3 years
17,Samriddhi Finance Co.,,,,
18,Samriddhi Fin,Fixed Deposit-2Yto3Y,0.077,0.0,2 years
19,Samriddhi Finance Co.,,,,
20,Corporate Dev,Fixed Deposit-10M,0.075,0.0,10 months
21,Corporate Bikas Bank,,,,
22,Nepal Finance,Fixed Deposit-1Yto2Y,0.075,0.0,1 year
23,Nepal Finance Co.,,,,
24,Samriddhi Fin,Fixed Deposit-1Yto2Y,0.075,0.0,1 year
25,Samriddhi Finance Co.,,,,
26,Multipurpose,Fixed Deposit-2Y&above,0.075,0.0,2 years
27,Multipurpose Finance,,,,
28,Narayani Dev.,Fixed Deposit-1Y&above,0.0725,0.0,1 year
29,Narayani Bikas Bank,,,,
30,Sindhu Bikas,Fixed Deposit-1Y&above,0.0711,0.0,1 year
31,Sindhu Bikas Bank,,,,
32,Corporate Dev,Fixed Deposit-6Mto2Y,0.071,0.0,6 months
33,Corporate Bikas Bank,,,,
34,Corporate Dev,Fixed Deposit-Upto2Y,0.07,0.0,3 months
35,Corporate Bikas Bank,,,,
36,Green Develop.,Fixed Deposit-2Y&above,0.07,0.0,2 years
37,Green Dev. Bank,,,,
38,Janaki Finan.,Fixed Deposit-1Y,0.07,0.0,1 year
39,Janaki Finance Co.,,,,
40,Pokhara Finan.,Fixed Deposit-2Yto<3Y,0.07,0.0,2 years
41,Pokhara Finance,,,,
42,Manjushree,Fixed Deposit-5Y&above,0.07,0.0,5 years
43,Manjushree Finance,,,,
44,ICFC Finance,Fixed Deposit-5Y&above,0.07,0.0,5.08 years
45,ICFC Finance Ltd,,,,
46,Central Fin,Fixed Deposit-3Y,0.07,0.0,3 years
47,Central Finance Ltd,,,,
48,Narayani Dev.,Fixed Deposit-6Mto1Y,0.07,0.0,6 months
49,Narayani Bikas Bank,,,,
50,Nepal Finance,Fixed Deposit-9M,0.0675,0.0,9 months
51,Nepal Finance Co.,,,,
52,Central Fin,Fixed Deposit-2Y,0.0675,0.0,2 years
53,Central Finance Ltd,,,,
54,Gurkhas Finan,Fixed Deposit-2Y&above,0.0675,0.0,2 years
55,Gurkhas Finance Ltd,,,,
56,Progressive,Fixed Deposit-3Y&above,0.0675,0.0,3 years
57,Progressive Fin. Co.,,,,
58,Reliance Fin.,Fixed Deposit->2Yto3Y,0.0675,0.0,2.08 years
59,Reliance Finance Ltd.,,,,
60,Multipurpose,Fixed Deposit-1Y,0.0675,0.0,1 year
61,Multipurpose Finance,,,,
62,Goodwill Finan.,Fixed Deposit-3Y&above,0.0675,0.0,3 years
63,Goodwill Finance Co.,,,,
64,Pokhara Finan.,Fixed Deposit-1Yto<2Y,0.067,0.0,1 year
65,Pokhara Finance,,,,
66,Best Finance,Fixed Deposit-5Y&above,0.0665,0.0,5.08 years
67,Best Finance Co.,,,,
68,Green Develop.,Fixed Deposit-1Yto<2Y,0.066,0.0,1 year
69,Green Dev. Bank,,,,
70,Gurkhas Finan,Fixed Deposit-1Yto<2Y,0.066,0.0,1 year
71,Gurkhas Finance Ltd,,,,
72,NMB Bank,Fixed Deposit-Above5Y,0.066,0.0,5.08 years
73,NMB Bank,,,,
74,Pokhara Finan.,Fixed Deposit-270 days,0.066,0.0,9 months
75,Pokhara Finance,,,,
76,Manjushree,Fixed Deposit-3Yto<5Y,0.066,0.0,3 years
77,Manjushree Finance,,,,
78,NIC Asia,Fixed Deposit-5Y&above,0.066,0.0,5 years
79,NIC ASIA Bank,,,,
80,Miteri Bikas,Fixed Deposit->2Y,0.065,0.0,2.08 years
81,Miteri Bikas Bank,,,,
82,Corporate Dev,Fixed Deposit,0.065,0.0,3 months
83,Corporate Bikas Bank,,,,
84,Corporate Dev,SuperFD-5Y&above,0.065,1.0,5.08 years
85,Corporate Bikas Bank,,,,
86,Garima Bikas,Fixed Deposit-2Y&above,0.065,0.0,2 years
87,Garima Bikas Bank,,,,
88,Mahalaxmi,Fixed Deposit-3Y&above,0.065,0.0,3 years
89,Mahalaxmi Bikas Bank,,,,
90,Lumbini Bikas,Fixed Deposit->2Y,0.065,0.0,2.08 years
91,Lumbini Bikas Bank,,,,
92,Shree Invest,Fixed Deposit-2Y&above,0.065,0.0,2 years
93,Shree Invest &Finance,,,,
94,Best Finance,Fixed Deposit->3Yto5Y,0.065,0.0,3.08 years
95,Best Finance Co.,,,,
96,Progressive,Fixed Deposit-2Yto3Y,0.065,0.0,2 years
97,Progressive Fin. Co.,,,,
98,Pokhara Finan.,Fixed Deposit-180 Days,0.065,0.0,6 months
99,Pokhara Finance,,,,
100,Reliance Fin.,Fixed Deposit-1Yto2Y,0.065,0.0,1 year
101,Reliance Finance Ltd.,,,,
102,Shangrila Dev.,Fixed Deposit-2Y&above,0.065,0.0,2 years
103,Shangrila Bikas Bank,,,,
104,Narayani Dev.,Fixed Deposit-3Mto5M,0.065,0.0,3 months
105,Narayani Bikas Bank,,,,
106,Central Fin,Fixed Deposit-1 to < 2 year,0.065,0.0,1 year
107,Central Finance Ltd,,,,
108,ICFC Finance,Fixed Deposit-2Yto<5Y,0.065,0.0,2 years
109,ICFC Finance Ltd,,,,
110,Goodwill Finan.,Fixed Deposit-2Y,0.065,0.0,2 years
111,Goodwill Finance Co.,,,,
112,Guheshwori,Fixed Deposit-3Yto<5Y,0.065,0.0,3 years
113,Guheshwori Finance,,,,
114,Nepal Finance,Fixd Desposit-6M,0.065,0.0,6 months
115,Nepal Finance Co.,,,,
116,Excel Bikas,Fixed Deposit-3Yto5Y,0.065,0.0,3 years
117,Excel Bikas Bank,,,,
118,Muktinath,Fixed Deposit->2Yto10Y,0.065,0.0,2.08 years
119,Muktinath Bikas Bank,,,,
120,NIMB,Fixed Deposit-Above2Y,0.065,0.0,2.08 years
121,Nepal Investment Mega Bank,,,,
122,Kamana Sewa,Fixed Deposit-2Y&above,0.065,0.0,2 years
123,Kamana Sewa B.Bank,,,,
124,Jyoti Bikas,Fixed Deposit-3Y&above,0.065,0.0,3.08 years
125,Jyoti Bikas Bank,,,,
126,Shine Resunga,Fixed Deposit-5Y&above,0.065,0.0,5 years
127,Shine Resunga BB,,,,
128,Janaki Finan.,Fixed Deposit- 9 Month,0.0645,0.0,9 months
129,Janaki Finance Co.,,,,
130,Best Finance,Fixed Deposit->2Yto3Y,0.064,0.0,2.08 years
131,Best Finance Co.,,,,
132,Gurkhas Finan,Fixed Deposit- 9M,0.0635,0.0,9 months
133,Gurkhas Finance Ltd,,,,
134,Progressive,Fixed Deposit-1Yto<2Y,0.0635,0.0,1 year
135,Progressive Fin. Co.,,,,
136,Corporate Dev,General Fixed Deposit,0.0625,0.0,3 months
137,Corporate Bikas Bank,,,,
138,SCB,Fixed Deposit-5Y,0.0625,0.0,5 years
139,Standard Chartered Bank,,,,
140,Best Finance,Fixed Deposit->1Yto2Y,0.0625,0.0,1.08 years
141,Best Finance Co.,,,,
