Bank/FI,Name,Minimum Balance,Tenure (Months),Interest Rate (%),YoY Interest Rate Change (%),3-Year MA Interest Rate
Salapa Bikas,Fixed Deposit-1Y&above,0.0,12.0,8.5,,
Pokhara Finan.,Fixed Deposit-3Y&above,0.0,36.0,8.0,-5.882352941176472,
Nepal Finance,Fixed Deposit-Above2Y,0.0,24.96,8.0,0.0,8.166666666666666
Salapa Bikas,Fixed Deposit-3Mto6M,0.0,3.0,8.0,0.0,8.0
Samriddhi Fin,Fixed Deposit-5Y&above,0.0,60.96,7.85,-1.8750000000000044,7.95
Janaki Finan.,Fixed Deposit-2Y&above,0.0,24.0,7.8,-0.6369426751592355,7.883333333333333
Guheshwori,Fixed Deposit-5Y&above,0.0,60.0,7.75,-0.6410256410256387,7.8
Reliance Fin.,Fixed Deposit-Above3Y,0.0,36.96,7.75,0.0,7.766666666666667
Samriddhi Fin,Fixed Deposit-3Yto5Y,0.0,36.0,7.75,0.0,7.75
Samriddhi Fin,Fixed Deposit-2Yto3Y,0.0,24.0,7.7,-0.6451612903225823,7.733333333333333
Corporate Dev,Fixed Deposit-10M,0.0,10.0,7.5,-2.5974025974025983,7.6499999999999995
Nepal Finance,Fixed Deposit-1Yto2Y,0.0,12.0,7.5,0.0,7.566666666666666
Samriddhi Fin,Fixed Deposit-1Yto2Y,0.0,12.0,7.5,0.0,7.5
Multipurpose,Fixed Deposit-2Y&above,0.0,24.0,7.5,0.0,7.5
Narayani Dev.,Fixed Deposit-1Y&above,0.0,12.0,7.25,-3.3333333333333326,7.416666666666667
Sindhu Bikas,Fixed Deposit-1Y&above,0.0,12.0,7.11,-1.93103448275862,7.286666666666666
Corporate Dev,Fixed Deposit-6Mto2Y,0.0,6.0,7.1,-0.14064697609001975,7.153333333333333
Corporate Dev,Fixed Deposit-Upto2Y,0.0,3.0,7.0,-1.4084507042253502,7.07
Green Develop.,Fixed Deposit-2Y&above,0.0,24.0,7.0,0.0,7.033333333333334
Janaki Finan.,Fixed Deposit-1Y,0.0,12.0,7.0,0.0,7.0
Pokhara Finan.,Fixed Deposit-2Yto<3Y,0.0,24.0,7.0,0.0,7.0
Manjushree,Fixed Deposit-5Y&above,0.0,60.0,7.0,0.0,7.0
ICFC Finance,Fixed Deposit-5Y&above,0.0,60.96,7.0,0.0,7.0
Central Fin,Fixed Deposit-3Y,0.0,36.0,7.0,0.0,7.0
Narayani Dev.,Fixed Deposit-6Mto1Y,0.0,6.0,7.0,0.0,7.0
Nepal Finance,Fixed Deposit-9M,0.0,9.0,6.75,-3.57142857142857,6.916666666666667
Central Fin,Fixed Deposit-2Y,0.0,24.0,6.75,0.0,6.833333333333333
Gurkhas Finan,Fixed Deposit-2Y&above,0.0,24.0,6.75,0.0,6.75
Progressive,Fixed Deposit-3Y&above,0.0,36.0,6.75,0.0,6.75
Reliance Fin.,Fixed Deposit->2Yto3Y,0.0,24.96,6.75,0.0,6.75
Multipurpose,Fixed Deposit-1Y,0.0,12.0,6.75,0.0,6.75
Goodwill Finan.,Fixed Deposit-3Y&above,0.0,36.0,6.75,0.0,6.75
Pokhara Finan.,Fixed Deposit-1Yto<2Y,0.0,12.0,6.7,-0.7407407407407418,6.733333333333333
Best Finance,Fixed Deposit-5Y&above,0.0,60.96,6.65,-0.7462686567164201,6.7
Green Develop.,Fixed Deposit-1Yto<2Y,0.0,12.0,6.6,-0.7518796992481258,6.6499999999999995
Gurkhas Finan,Fixed Deposit-1Yto<2Y,0.0,12.0,6.6,0.0,6.616666666666667
NMB Bank,Fixed Deposit-Above5Y,0.0,60.96,6.6,0.0,6.6
Pokhara Finan.,Fixed Deposit-270 days,0.0,9.0,6.6,0.0,6.6
Manjushree,Fixed Deposit-3Yto<5Y,0.0,36.0,6.6,0.0,6.6
NIC Asia,Fixed Deposit-5Y&above,0.0,60.0,6.6,0.0,6.6
Miteri Bikas,Fixed Deposit->2Y,0.0,24.96,6.5,-1.5151515151515138,6.566666666666666
Corporate Dev,Fixed Deposit,0.0,3.0,6.5,0.0,6.533333333333334
Corporate Dev,SuperFD-5Y&above,1.0,60.96,6.5,0.0,6.5
Garima Bikas,Fixed Deposit-2Y&above,0.0,24.0,6.5,0.0,6.5
Mahalaxmi,Fixed Deposit-3Y&above,0.0,36.0,6.5,0.0,6.5
Lumbini Bikas,Fixed Deposit->2Y,0.0,24.96,6.5,0.0,6.5
Shree Invest,Fixed Deposit-2Y&above,0.0,24.0,6.5,0.0,6.5
Best Finance,Fixed Deposit->3Yto5Y,0.0,36.96,6.5,0.0,6.5
Progressive,Fixed Deposit-2Yto3Y,0.0,24.0,6.5,0.0,6.5
Pokhara Finan.,Fixed Deposit-180 Days,0.0,6.0,6.5,0.0,6.5
Reliance Fin.,Fixed Deposit-1Yto2Y,0.0,12.0,6.5,0.0,6.5
Shangrila Dev.,Fixed Deposit-2Y&above,0.0,24.0,6.5,0.0,6.5
Narayani Dev.,Fixed Deposit-3Mto5M,0.0,3.0,6.5,0.0,6.5
Central Fin,Fixed Deposit-1 to < 2 year,0.0,12.0,6.5,0.0,6.5
ICFC Finance,Fixed Deposit-2Yto<5Y,0.0,24.0,6.5,0.0,6.5
Goodwill Finan.,Fixed Deposit-2Y,0.0,24.0,6.5,0.0,6.5
