Year,FDI net inflow (Million US$),Remittance received (Million US$),Normalized FDI,Normalized Remittance
2011,94.02,4216.89,94020000.0,4216890000.0000005
2012,91.95,4792.51,91950000.0,4792510000.0
2013,74.18,5583.7,74180000.0,5583700000.0
2014,30.4,5888.65,30400000.0,5888650000.0
2015,51.9,6729.94,51900000.0,6729940000.0
2016,106.0,6611.84,106000000.0,6611840000.0
2017,196.27,6928.13,196270000.0,6928130000.0
2018,68.26,8286.63,68260000.0,8286629999.999999
2019,185.56,8244.47,185560000.0,8244469999.999999
2020,126.63,8107.74,126630000.0,8107740000.0
2021,196.33,8203.26,196330000.0,8203260000.0
