Trade,Last,Previous,Highest,Lowest,Amount,Date
Balance of Trade,-137802.0,-135752.0,-3913.0,-167318.0,NPR Million,2024-Jan
Current Account,221339.0,179481.0,221339.0,-623325.0,NPR Million,2024-March
Current Account to GDP,-1.5,-12.7,5.4,-12.7,percent of GDP,2023-December
Exports,28416.0,25129.0,44610.0,-322.0,NPR Million,2025-Jan
Imports,166218.0,160882.0,299677.0,8000.0,NPR Million,2025-Jan
Gold Reserves,7.99,7.99,7.99,0.0,Tonnes,2024-June
Tourist Arrivals,1014876.0,614148.0,1197191.0,9388.0,Persons,2023-December
Foreign Direct Investment,5961.0,18560.0,19513.0,-470.0,NPR Million,2023-December
Terms of Trade,106.0,108.0,164.0,90.5,points,2025-February
Terrorism Index,1.11,2.16,6.86,1.11,Points,2024-December
